,text,target
0,взятие кредита в сбербанке,0
1,четыре тысячи вкладчиков банка аскольд получат возмещение по вкладам асв выбрало втб банк,0
2,янукович пообещал вернуть вклады сбербанка ссср,0
3,сбербанк навязывает кредитную карту,-1
4,с января проезд нельзя будет оплатить картами сбербанка и,-1
5,банк москвы одно из трех финансовых учреждений которое попало под экономические санкции сша,-1
6,да оно последние несколько дней на мтс криво открывается иногда нормально а иногда отпадает,-1
7,как россельхозбанк кредитует крестьянские хозяйства ахтубинского района в году,0
8,обзор финансово экономической прессы в список санкций ес будут включены сбербанк и втб,-1
9,как скрыть номер на мегафоне,0
10,мтс и ускоряют доступ к зарубежным интернет ресурсам,1
11,альфа банк в омске кредит калькулятор,0
12,калькулятор расчета ипотечного кредита сбербанк,0
13,узбекистан утвердил дорожную карту по созданию сп с мтс,0
14,мтс айпад,0
15,как взять кредит в россельхозбанке в нальчике,0
16,в крыму таки сегодня как и ожидалось отключили работу украинского мтс номера украинской нумерации мтс недоступны,-1
17,мегафон может создать сеть связи для госорганов,0
18,саратов то когда перешел с мтс к вам а они недавно запустили г в саратове,1
19,у меня по аэрофлот бонус за потраченное бабло должны мили начислять,0
20,я понимаю но я эту услугу не подключала,0
21,билайн радует по покрытию непосредственно в самом городе но мтс за городом имеет приемущество,1
22,газпромбанк и россельхозбанк попросили помощи у государства,-1
23,кредит под залог квартиры сбербанк,0
24,ставка ипотечного кредита сбербанк,0
25,сбербанк выпустил обновленную версию интернет банка сбербанк онлайн с более простым и удобным интерфейсом вологжанам доступна обновленная,1
26,добрый день уточните пож та какие сложности по работе услуг связи возникли в каком городе наблюдается подобная ситуация билайн,0
27,он в билайне работает ты знаешь кладу деньги вижу его,0
28,взаимныйфолловинг можно подумать только ростелеком юг такие сволочи а в остальных компаниях сервис на европейском уровне,-1
29,россельхозбанк и газпромбанк попросили о господдержке из за санкций россельхозбанк рсхб и газпромбанк попросили о государственной,-1
30,киев райффайзенбанк кредит за часов,0
31,мтс откроет мобильную академию в николаеве и херсоне,0
32,билайн запускает пакеты для общения по единой цене,0
33,кстати справедливости ради сообщаю вам о том что сбербанк вернул деньги ок,1
34,я бы на месте сбербанка лучше обучала своих сотрудников час стою,-1
35,часть вкладчиков инвестбанка переведут в сбербанк,0
36,уралсиб банк реструктуризация кредитов,0
37,мтс подарили смс ахах,1
38,потребительский кредит в сбербанк в красноярске,0
39,отправил,0
